Internal ID,Date,Document Number,Name,Currency,Amount (Foreign Currency),Amount
6929735,04/17/2019,SO33-00113,Intercompany - Vincenzo de Mexico,USA,"$6,525.00",6525
6929723,04/17/2019,SO53-00619,Gotcha Covered ContractingGotcha Covered Contracting,USA,"$46,129.00",46129
6929196,04/17/2019,SO53-00618,Finished Work Roofing & Construction,USA,$285.12,285.12
6929094,04/17/2019,SO51-00631,John Baird,USA,$0.00,0
6929093,04/17/2019,SO52-01663,Tri County Metals (SMI),USA,"$32,950.00",32950
6929088,04/17/2019,SO53-00617,Ramon Roofing (SMI),USA,"$1,659.74",1659.74
6923768,04/16/2019,SO52-01662,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,$294.00,294
6923763,04/16/2019,SO52-01661,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$8,757.00",8757
6923555,04/16/2019,SO52-01660,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$6,156.00",6156
6923554,04/16/2019,SO52-01659,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$2,600.00",2600
6923550,04/16/2019,SO52-01658,"METAL ROOFING SYSTEMS, INC. : STANLEY - MRSI00-1",USA,"$2,940.00",2940
6923546,04/16/2019,SO52-01657,Mid-Atlantic Roofing Supply : GARNER - MRS012,USA,"$7,847.00",7847
6923545,04/16/2019,SO53-00616,LONE-STAR ROOF SYSTEMS,USA,$255.47,255.47
6922933,04/16/2019,SO51-00630,ALL METAL WORKS,USA,"$1,222.10",1222.1
6922823,04/16/2019,SO53-00615,My Metal Wholesale Supply,USA,$36.00,36
6922614,04/16/2019,SO52-01656,"METAL ROOFING SYSTEMS, INC. : STANLEY - MRSI00-1",USA,"$12,758.62",12758.62
6922107,04/16/2019,SO53-00614,"D & F CUSTOM EXTERIORS,LTD",USA,"$10,219.36",10219.36
6922106,04/16/2019,SO51-00629,J & A Roofing Company Inc.,USA,"$3,304.00",3304
6922101,04/16/2019,SO52-01655,"Extreme Metal Fabricators, LLC",USA,$592.90,592.9
6922093,04/16/2019,SO51-00628,SEAM RIGHT METALS INC,USA,"$9,818.82",9818.82
6921887,04/16/2019,SO80-03797,ACW Construction,USA,$85.17,85.17
6921776,04/16/2019,SO80-03796,Architectural Sheet Metal Specialties - NY,USA,$598.37,598.37
6921664,04/16/2019,SO53-00613,Finished Work Roofing & Construction,USA,"$8,772.46",8772.46
6921659,04/16/2019,SO51-00627,METAL FORMED GOODS COMPANY,USA,"$1,140.00",1140
6921557,04/16/2019,SO53-00612,Copper Nail Roofing (SMI),USA,$756.43,756.43
6921555,04/16/2019,SO54-01111,Custom Sheet Metal Inc,USA,$104.00,104
6921150,04/15/2019,SO52-01654,"METAL ROOFING SYSTEMS, INC. : CONWAY - MRSI00-10",USA,"$5,561.50",5561.5
6921147,04/16/2019,SO53-00611,Copper Nail Roofing (SMI),USA,$140.40,140.4
6921045,04/16/2019,SO53-00610,Copper Nail Roofing (SMI),USA,"$1,944.00",1944
